16
946 1677
826 579 412
105 324 62
288 236 508
581 309 506
228 672 193
467 123 144
861 61 955
820 293 715
709 36 524
191 252 420
552 124 394
157 440 537
886 429 760
550 644 147
601 522 763
60 581 137
195 366 266
937 339 475
834 859 590
863 272 469
235 20 627
308 561 67
514 175 453
307 597 21
874 531 921
279 645 83
171 177 153
782 338 446
645 101 491
307 761 537
648 865 376
164 781 814
876 653 984
358 852 655
359 668 366
722 444 637
160 784 765
928 217 360
396 886 33
336 251 93
942 375 994
800 881 259
560 203 816
325 475 743
411 457 466
632 861 856
202 878 608
417 594 254
930 719 84
19 10 176
437 716 475
372 550 751
429 427 704
591 407 414
463 259 535
217 671 185
314 582 570
307 651 328
132 622 585
780 186 603
589 609 793
462 907 869
124 921 614
24 320 223
85 140 207
387 910 276
130 504 334
841 618 979
495 726 103
243 515 55
594 395 921
78 96 243
719 306 790
703 240 467
52 167 259
318 709 944
155 344 727
627 380 614
878 55 517
195 264 359
140 148 604
507 652 630
29 360 626
60 225 647
478 581 945
870 189 979
65 203 291
438 250 384
220 151 869
644 70 967
101 301 349
567 215 312
374 234 61
799 268 552
515 711 48
255 189 347
830 614 921
620 460 963
691 543 704
561 612 132
911 180 801
126 241 829
394 639 255
57 659 732
582 360 873
28 476 406
106 18 964
36 864 27
674 762 293
864 290 493
752 811 169
56 57 548
539 916 111
864 727 492
830 427 353
114 690 517
163 700 147
502 391 37
153 157 627
213 209 461
736 88 521
138 265 668
780 268 342
512 792 80
755 783 383
666 883 922
19 710 492
218 279 657
436 648 987
50 763 995
895 6 551
654 823 952
673 802 311
69 367 978
101 880 748
657 150 299
758 930 719
768 548 820
861 160 231
669 886 648
733 682 808
366 214 297
26 59 746
411 348 601
62 78 233
833 698 336
25 77 913
454 812 104
132 228 147
225 209 383
434 893 201
230 486 505
638 743 179
581 585 427
328 82 104
928 241 632
25 119 854
578 890 370
191 440 998
678 395 543
74 337 45
505 116 108
712 730 983
448 105 81
344 204 942
929 938 216
311 875 430
5 567 175
522 121 198
741 351 405
842 715 309
883 780 464
278 593 873
607 568 685
613 619 175
228 518 12
777 457 859
629 270 285
175 191 520
359 533 949
136 730 11
240 927 113
267 698 844
540 283 144
357 488 142
842 309 46
589 493 349
16 554 779
23 644 791
286 363 32
356 140 837
365 292 276
799 858 147
559 658 335
872 745 842
519 473 643
661 62 413
759 378 8
448 23 826
575 219 644
303 266 755
327 105 671
326 598 657
708 369 972
594 790 888
608 705 997
415 470 697
270 774 962
314 636 277
547 496 878
574 4 985
97 8 872
724 664 603
658 662 805
627 819 864
899 392 931
79 811 292
465 439 363
452 279 395
287 574 37
552 268 427
844 51 457
334 817 992
147 130 830
522 910 586
853 751 940
354 315 662
93 494 446
716 302 295
724 235 3
575 483 590
175 27 984
351 309 259
805 351 550
789 169 217
350 574 873
573 171 580
564 298 471
19 690 922
394 644 622
216 703 293
388 46 956
198 918 170
609 731 247
636 783 927
593 122 621
384 315 841
35 830 620
49 265 251
818 491 731
213 660 534
159 228 304
357 705 187
280 236 650
794 739 963
445 131 671
263 792 749
183 517 600
336 460 5
462 474 958
852 8 387
491 406 780
455 522 431
938 102 524
330 233 595
725 618 108
799 183 22
786 735 564
407 416 878
914 608 845
83 784 837
531 6 615
3 645 809
295 731 148
775 407 414
338 555 501
158 743 588
599 545 580
329 283 639
458 558 866
801 232 627
938 550 167
523 507 229
242 894 639
476 485 301
190 896 969
898 946 936
363 706 49
808 391 849
531 778 671
136 647 868
240 762 872
285 384 398
363 148 77
432 176 863
872 276 929
400 702 777
332 251 956
650 362 146
876 572 30
636 705 308
875 398 683
357 632 23
161 408 657
320 666 160
719 431 182
704 221 33
928 616 909
824 155 525
811 504 910
831 854 126
844 147 904
803 791 81
406 841 274
182 726 805
792 350 911
470 439 245
336 945 392
713 553 408
371 494 325
465 571 422
693 640 243
597 738 232
126 474 797
72 595 499
240 447 354
408 620 642
901 36 916
40 375 635
40 471 865
161 240 608
729 119 379
233 31 308
484 66 963
430 934 423
861 403 841
375 792 1000
124 195 118
642 34 772
396 576 294
899 99 499
3 183 988
653 686 448
653 676 559
866 660 400
480 528 260
687 554 901
147 529 3
444 576 314
243 440 592
338 674 507
370 352 120
549 30 219
200 10 949
762 262 110
314 35 12
37 99 33
100 101 479
596 904 24
688 89 989
580 462 315
209 693 462
897 256 7
831 939 596
108 201 459
146 340 433
355 43 580
583 30 425
278 496 169
887 480 776
343 125 125
482 893 91
115 753 915
750 504 42
469 843 671
70 771 681
933 826 548
845 570 347
504 75 487
2 180 997
689 830 681
180 798 96
291 193 826
782 322 992
185 794 22
350 273 790
569 638 478
293 758 569
305 214 862
907 744 377
509 158 282
494 684 171
771 571 537
685 811 667
322 497 282
214 274 908
185 20 920
216 880 860
662 588 7
452 131 486
570 802 338
222 879 555
552 631 95
41 168 920
599 280 883
8 687 97
575 945 443
393 682 118
870 888 701
624 856 62
449 447 373
204 699 155
240 418 507
38 592 505
129 13 614
577 460 451
646 926 130
733 195 187
18 773 686
707 427 640
638 19 149
686 439 624
224 50 974
62 477 548
736 311 230
298 656 838
59 466 184
287 388 824
187 169 654
378 166 524
211 474 469
314 549 293
444 531 458
680 533 136
805 606 665
210 685 90
320 940 369
541 818 860
158 174 524
175 560 763
272 113 688
560 601 359
277 361 472
158 71 363
110 865 473
662 481 319
826 801 608
707 790 785
928 926 324
507 200 337
112 276 995
688 657 567
145 777 330
528 429 904
807 60 866
56 909 774
940 850 951
287 266 271
748 783 265
102 804 605
100 65 67
375 885 606
884 48 402
702 497 9
210 362 227
110 252 232
768 797 139
338 104 252
344 327 337
837 868 951
721 139 645
396 535 748
177 512 234
364 340 587
434 290 298
551 579 57
512 50 985
742 928 548
37 588 477
622 682 675
186 713 668
356 537 664
342 753 845
442 886 929
944 518 856
675 569 887
605 385 88
659 837 224
756 753 508
121 581 542
913 100 812
288 858 657
599 355 167
612 317 841
87 724 165
344 226 141
642 701 476
910 771 104
114 121 996
814 735 293
738 348 804
358 631 288
493 870 667
491 866 801
888 430 831
834 710 328
101 323 483
257 210 411
390 535 694
138 654 858
760 163 384
361 19 675
73 123 552
82 90 101
526 240 357
733 352 823
773 475 635
429 630 498
797 832 351
116 875 17
264 314 836
488 237 792
318 72 587
415 170 493
735 769 395
379 27 439
713 157 15
402 188 49
204 646 789
518 511 716
287 653 936
360 135 234
723 279 658
279 652 292
683 676 592
69 654 217
648 697 594
243 168 33
628 111 938
631 888 984
160 543 743
566 435 944
464 636 967
881 729 790
411 284 808
526 566 697
732 243 999
725 296 798
74 554 536
847 312 444
57 842 443
747 158 558
911 944 299
676 37 227
625 775 963
147 367 829
694 402 220
846 63 374
884 546 432
240 471 397
57 461 245
602 513 369
280 232 319
745 670 555
771 858 59
816 114 620
62 705 316
513 475 659
221 370 399
798 570 55
613 743 438
452 604 210
119 689 760
710 688 600
585 260 118
385 480 861
361 590 420
634 697 515
741 726 949
919 410 690
596 272 936
204 611 674
125 219 498
889 695 775
461 448 476
899 198 17
53 762 2
42 889 934
28 844 707
607 827 396
240 877 905
736 326 764
840 929 632
390 762 41
76 765 717
890 152 665
193 738 328
742 325 998
914 577 298
550 42 209
515 220 288
574 143 628
18 572 339
646 29 533
724 251 28
115 520 388
26 87 723
707 915 823
178 785 341
380 701 368
162 202 397
788 922 33
346 903 564
908 397 399
252 781 77
550 454 960
291 86 608
924 930 40
620 41 489
38 465 474
501 200 539
938 668 421
576 735 923
868 358 437
397 554 751
421 626 54
286 558 999
614 673 753
339 476 167
472 923 520
770 112 977
850 889 256
634 652 20
457 453 926
270 37 952
795 55 593
465 132 374
596 441 756
747 349 757
31 399 533
479 383 106
908 174 31
603 686 707
907 915 230
519 624 341
708 555 708
459 805 118
759 444 770
800 448 912
660 77 148
554 52 416
901 483 241
917 646 524
915 192 515
348 179 804
374 193 576
76 880 309
283 264 85
403 939 293
527 300 235
117 853 743
247 329 551
375 82 318
205 442 211
759 703 496
515 41 657
854 393 855
896 749 135
551 508 154
244 265 349
535 883 331
611 328 874
470 253 342
444 919 781
150 941 41
14 862 377
771 888 804
472 9 800
578 15 856
444 276 216
464 13 668
681 555 616
393 945 982
225 9 395
35 26 716
390 639 825
186 18 884
219 660 848
245 284 793
720 95 739
270 695 70
774 79 474
420 673 785
872 661 497
173 10 412
344 578 5
387 475 460
198 170 206
374 583 153
914 432 961
668 296 853
253 553 167
397 325 997
174 100 217
208 683 979
345 414 40
431 908 56
713 23 188
430 131 983
840 103 276
562 600 539
24 282 492
474 267 118
169 384 580
233 200 865
605 283 36
750 546 913
508 253 378
305 785 591
773 662 884
735 566 810
942 46 377
411 513 807
842 15 242
529 925 511
71 448 102
497 771 959
126 782 461
441 47 422
904 553 214
819 707 100
635 789 423
563 93 90
211 870 713
166 667 934
649 254 423
45 802 990
642 117 656
454 283 254
259 559 674
720 634 922
118 706 875
603 839 487
251 778 609
561 855 738
5 538 767
147 827 708
793 130 473
563 725 617
222 169 215
436 908 144
758 856 429
939 828 459
33 496 828
777 728 787
24 632 301
570 1 215
197 747 479
805 111 990
180 660 184
755 837 735
188 645 807
472 138 596
338 526 219
760 398 532
158 876 830
866 280 335
852 133 625
774 371 800
211 166 121
728 834 570
640 919 972
300 856 675
106 377 89
250 783 292
742 102 314
219 489 189
291 40 610
803 937 623
504 83 719
472 789 694
464 675 982
526 91 969
390 722 593
810 224 635
130 182 861
142 510 739
500 59 913
307 354 767
145 249 422
508 240 302
400 96 958
472 480 223
357 578 478
79 576 39
476 728 685
506 225 206
11 929 147
862 308 330
874 544 879
941 124 61
916 66 704
525 716 61
157 354 839
40 224 8
624 400 171
810 587 413
649 189 960
261 574 413
570 509 208
683 911 820
45 161 320
690 539 615
206 278 770
551 485 570
716 206 305
834 923 489
865 821 790
940 304 180
222 118 693
518 308 397
177 580 767
3 377 993
387 242 347
203 406 542
373 551 554
271 391 741
309 867 675
543 563 175
494 495 493
233 900 656
904 931 538
851 289 140
404 588 410
693 292 888
435 394 123
577 9 641
920 739 835
521 464 832
502 8 824
228 923 894
364 663 52
513 545 216
856 204 496
536 13 98
886 430 607
394 309 643
67 1 940
323 685 134
668 832 550
95 434 596
612 276 223
375 680 152
242 193 594
495 201 81
130 763 124
576 922 988
303 218 549
299 809 79
346 611 531
700 570 155
130 275 953
250 828 613
344 646 740
208 63 621
502 531 786
478 469 942
456 221 999
811 185 534
98 554 450
426 1 665
594 876 815
397 95 158
884 834 74
888 172 653
806 124 378
385 5 854
388 743 192
130 746 20
665 140 192
946 532 452
74 500 806
460 545 35
832 412 837
216 361 652
920 445 665
355 361 107
229 179 140
568 708 670
514 865 326
112 487 385
356 357 722
254 30 481
927 583 553
717 919 939
810 81 739
286 99 236
136 384 719
166 373 439
538 690 482
896 773 228
287 811 395
49 89 261
592 892 753
518 554 202
921 304 19
91 269 577
704 421 501
682 889 859
141 273 174
629 587 591
341 196 43
563 714 217
725 160 795
912 895 567
580 817 943
13 71 986
180 289 278
284 650 32
389 829 35
768 520 107
857 632 529
755 591 308
343 562 270
156 521 250
461 72 643
610 755 191
633 279 572
725 109 692
226 763 685
755 650 48
624 236 93
247 925 874
146 409 393
227 791 835
751 1 284
247 850 648
818 104 108
613 214 112
342 6 12
189 821 142
439 532 75
161 659 642
401 2 654
240 869 39
805 300 77
655 865 973
881 157 320
3 706 819
66 743 213
292 755 50
168 495 999
828 269 689
637 58 341
520 137 384
666 80 147
382 327 147
198 663 293
363 97 811
227 417 204
921 12 532
666 456 892
47 36 384
76 26 345
858 95 275
285 933 878
456 939 581
486 730 955
585 95 880
256 683 949
524 76 1
926 215 759
778 209 608
639 362 519
504 537 902
123 430 490
211 735 76
246 179 48
500 640 177
230 716 58
683 753 211
145 333 119
239 330 816
791 48 976
628 568 361
617 401 413
314 626 380
456 940 189
570 464 894
878 713 328
756 308 236
48 350 616
458 659 410
303 867 305
896 80 519
487 114 372
510 460 400
234 597 431
462 52 938
568 889 93
825 483 437
861 241 608
824 445 383
166 736 40
121 59 575
763 449 604
37 678 25
656 378 751
939 185 858
677 71 70
590 753 241
488 757 920
23 636 250
297 793 369
4 28 133
571 59 744
136 700 555
137 713 750
796 874 608
291 311 996
201 636 694
913 189 464
700 624 83
125 514 116
946 221 95
272 572 489
51 491 705
4 350 882
279 673 966
690 877 630
600 174 598
614 392 550
498 420 577
314 114 533
328 116 830
462 756 385
548 70 846
398 376 60
474 636 449
875 654 555
666 905 955
345 158 895
841 121 115
222 739 801
531 147 622
118 381 874
567 910 3
733 126 982
355 60 876
875 354 477
180 856 10
305 809 494
308 497 432
550 39 703
372 584 890
320 117 152
704 701 743
759 111 395
86 339 17
480 65 135
353 687 673
718 832 491
584 177 607
848 813 675
415 924 976
521 747 604
580 660 51
147 195 190
213 182 381
351 789 104
568 794 714
34 904 618
574 498 889
739 439 934
601 238 634
98 450 134
380 844 560
924 404 154
694 597 764
168 187 256
795 550 205
550 337 688
560 818 524
96 917 447
369 865 493
930 831 389
464 370 955
718 169 640
921 38 198
153 866 682
114 283 126
148 605 67
760 228 795
87 342 801
946 294 345
576 375 98
560 894 878
419 279 226
426 650 119
124 396 607
343 839 17
449 301 10
107 634 22
308 37 331
680 168 912
604 432 750
229 638 29
393 514 456
492 483 913
868 841 837
238 673 624
838 118 348
855 233 876
712 474 421
328 759 952
921 178 413
179 351 915
933 527 561
831 34 459
646 618 37
642 561 242
431 383 570
799 689 317
684 186 567
222 253 594
510 347 366
786 765 193
280 832 334
454 65 869
440 669 24
121 548 134
37 909 82
111 42 165
395 864 917
230 941 18
207 925 588
9 21 567
399 704 749
450 449 281
151 519 995
94 589 63
724 4 925
23 457 964
170 747 450
626 655 477
11 79 32
831 803 380
662 674 328
210 623 420
635 664 471
333 547 174
601 776 213
905 641 789
171 720 545
545 85 723
561 513 435
645 368 199
289 521 654
20 846 381
170 326 964
351 888 188
185 473 451
498 247 510
957 1607
665 326 770
59 55 325
879 122 285
342 757 950
811 954 294
559 449 56
375 861 731
66 780 177
820 312 997
667 372 765
68 179 503
27 103 626
884 865 595
30 632 533
293 162 391
236 894 651
671 286 755
7 80 466
382 146 754
120 595 320
647 131 1
150 468 238
797 517 550
443 759 520
471 494 737
905 206 707
120 835 655
830 217 696
887 824 90
252 578 848
733 537 608
99 498 134
148 16 669
16 612 862
718 727 309
214 597 430
741 730 299
323 935 299
589 160 406
182 749 592
598 151 316
929 181 161
466 742 797
950 596 224
633 694 863
566 189 293
936 57 960
795 546 686
526 765 251
292 281 682
349 592 298
149 107 908
233 369 157
882 204 859
636 657 417
826 559 278
125 285 974
439 906 464
859 430 875
685 853 274
520 177 818
393 463 559
704 578 459
610 918 263
156 574 345
866 152 185
191 618 760
392 481 269
931 711 229
94 538 178
914 734 849
804 179 799
274 923 276
780 277 879
287 612 621
712 510 524
339 44 350
333 208 612
14 356 810
620 500 623
293 781 980
627 749 527
816 325 213
485 885 210
319 277 359
564 694 322
254 801 620
268 592 1000
178 528 873
125 529 79
229 488 873
671 143 51
61 706 238
613 811 426
727 463 481
405 307 246
536 198 473
756 399 695
726 261 617
792 654 856
247 689 19
451 266 830
502 902 173
781 383 871
689 654 155
788 619 460
3 233 923
296 691 74
19 822 210
334 556 246
250 886 838
944 437 851
676 474 510
649 380 264
129 713 469
775 171 254
437 481 28
472 133 67
938 793 162
820 427 231
415 784 232
291 194 146
951 721 702
462 656 848
827 99 753
458 336 310
602 196 809
466 357 296
394 701 906
118 313 92
225 893 787
278 852 128
211 256 308
24 419 773
854 848 71
787 574 530
262 455 835
259 77 265
928 393 970
308 52 727
254 422 252
507 185 617
552 485 494
918 622 811
689 879 506
99 652 211
912 430 584
284 896 411
334 451 807
760 669 880
933 862 968
93 583 27
63 891 12
391 843 791
222 738 1000
53 604 891
202 108 1
615 834 178
791 696 302
351 674 160
435 6 948
465 681 888
765 226 19
456 617 825
394 733 50
517 284 808
377 926 607
779 752 537
766 628 685
469 209 362
323 211 279
838 490 851
728 767 692
667 774 493
331 265 169
43 591 680
693 855 955
125 66 374
871 319 721
187 24 751
233 484 370
345 1 794
391 265 513
278 935 383
434 472 246
377 287 541
139 677 848
453 428 829
646 660 704
731 717 753
248 66 840
798 193 381
616 796 268
948 694 647
421 173 759
804 141 125
650 402 176
757 270 391
345 875 833
133 391 146
67 521 220
738 866 556
807 84 467
531 363 818
392 403 182
4 871 387
725 326 411
94 851 983
252 770 817
470 75 760
499 697 856
762 210 881
600 179 610
625 576 164
665 661 294
148 201 120
245 361 746
307 843 129
902 921 774
466 490 243
353 319 420
703 358 46
717 610 900
368 652 20
611 685 279
229 730 218
143 183 53
806 150 677
46 833 779
674 809 614
389 268 593
646 951 306
80 58 596
573 328 802
51 728 419
504 429 969
691 457 800
537 718 920
408 23 776
575 104 813
18 285 527
53 627 634
268 37 448
785 423 648
897 804 915
346 933 946
354 906 274
268 642 661
585 718 46
213 10 933
499 387 45
98 139 431
404 673 146
236 539 258
709 542 315
577 677 369
453 96 622
842 554 976
760 415 302
901 953 750
667 433 552
555 526 370
129 577 490
744 858 143
803 944 541
852 17 224
327 788 481
752 286 121
44 525 237
794 780 66
269 761 316
470 743 982
442 69 499
437 273 387
858 51 336
769 42 891
263 800 757
946 509 642
355 281 84
92 608 790
172 921 891
694 836 482
803 284 839
376 190 456
716 215 763
223 910 257
141 502 383
434 730 365
808 141 406
39 625 452
592 543 759
284 765 778
951 669 862
849 8 745
905 759 714
405 164 162
96 471 955
76 503 895
565 942 395
59 130 988
305 350 832
586 840 847
69 952 829
506 870 495
343 693 144
107 733 736
762 594 972
391 353 416
653 944 908
850 461 225
201 565 644
465 489 506
588 124 335
56 547 110
951 742 891
281 803 850
107 484 902
198 659 452
318 799 93
821 256 962
213 669 802
957 935 199
825 817 275
174 389 33
735 893 633
447 3 288
649 266 582
843 491 206
524 143 622
813 459 800
638 183 549
243 768 258
463 748 317
784 929 130
456 153 191
734 915 645
689 865 694
872 529 253
842 410 327
559 50 747
362 313 478
782 666 296
199 78 489
646 504 33
65 187 457
479 878 483
573 576 575
355 854 217
797 373 706
239 643 5
512 802 730
135 859 359
947 605 924
879 631 715
650 695 607
656 108 411
636 548 589
18 726 838
484 314 674
297 17 423
714 796 546
874 455 64
661 610 771
636 723 310
611 647 42
272 153 694
641 646 737
181 715 633
367 347 669
876 524 65
196 91 780
207 57 791
669 93 373
884 788 650
21 373 920
45 541 377
792 426 98
8 747 246
843 734 197
356 15 599
864 459 610
10 472 936
782 184 388
822 528 576
578 708 921
444 782 269
432 10 671
690 65 214
686 72 425
198 823 597
619 159 516
643 422 898
768 85 780
632 191 178
172 369 659
3 920 903
616 233 100
57 690 147
725 773 496
564 22 906
621 101 554
883 576 849
788 726 111
439 824 346
319 328 367
213 574 375
436 93 588
249 526 239
26 460 979
378 763 906
703 267 25
442 580 552
527 856 907
200 737 428
735 272 634
906 437 33
210 28 801
69 568 75
150 880 804
145 881 989
771 161 196
955 787 731
82 746 298
683 731 795
590 623 262
85 40 108
292 660 632
102 651 924
45 502 889
413 515 610
648 175 991
301 41 200
746 323 863
289 496 792
926 233 131
390 804 862
328 605 836
548 285 759
33 948 602
695 691 934
228 674 860
520 933 812
851 72 21
889 58 799
97 433 488
827 689 293
471 678 356
617 188 715
395 733 415
767 770 116
805 723 355
79 261 99
126 142 305
823 108 569
956 421 886
230 72 178
536 537 53
261 870 596
679 220 562
637 913 407
795 282 966
168 728 791
849 727 103
794 338 449
932 734 553
405 344 880
419 745 111
819 772 377
488 808 775
305 480 569
804 813 579
797 67 683
9 15 337
861 433 128
925 246 563
5 811 812
659 623 92
413 744 398
649 78 170
303 182 220
472 713 107
917 63 172
327 27 759
829 514 741
640 704 187
300 422 825
414 655 350
819 648 244
198 925 556
883 689 790
608 182 409
359 933 128
75 301 541
365 638 225
1 791 559
477 692 924
582 23 54
715 519 211
562 823 244
729 762 459
421 622 178
183 895 300
885 587 123
852 333 990
237 873 172
83 192 645
814 174 120
627 851 905
64 73 605
628 498 670
340 610 614
304 575 336
325 862 588
731 462 367
294 419 498
242 754 842
860 418 724
114 154 196
485 554 880
291 17 668
545 490 158
560 89 799
393 936 915
453 344 672
361 160 471
790 503 704
290 920 84
865 493 376
625 929 443
624 317 401
228 882 395
641 894 213
724 242 563
100 14 306
570 170 59
133 226 87
136 949 22
73 290 346
627 691 464
560 404 179
425 579 265
7 292 485
228 222 156
901 835 816
670 684 309
18 125 736
97 308 109
277 478 680
928 366 564
241 831 711
354 355 158
864 900 519
240 79 665
874 805 493
239 463 798
320 12 422
192 91 788
472 90 68
153 910 85
27 830 530
129 603 486
863 156 532
15 789 764
633 337 716
418 167 111
241 427 995
170 394 769
854 345 26
349 179 789
657 12 537
666 117 52
247 543 160
153 589 822
537 171 853
779 428 734
391 818 776
64 830 933
92 15 824
775 898 485
55 699 39
347 752 829
823 78 739
253 723 925
144 551 896
20 372 259
371 756 279
375 741 739
820 715 711
920 5 680
835 333 689
794 917 400
358 869 36
396 213 129
446 419 429
217 175 992
507 183 812
442 651 568
236 155 979
19 814 3
244 519 413
632 910 906
230 52 147
283 110 649
225 714 573
111 898 498
138 254 192
940 208 565
905 599 277
344 898 804
826 387 102
350 28 675
683 812 583
420 485 351
208 737 673
166 822 315
298 511 971
467 854 493
835 511 388
245 587 484
10 123 701
861 708 48
688 537 310
853 535 957
907 526 797
379 540 84
880 865 356
685 539 336
384 125 458
396 235 762
569 422 103
2 316 743
859 265 644
340 33 499
158 889 786
590 750 64
574 290 648
641 707 121
342 827 339
113 31 811
336 79 640
534 307 107
731 459 302
544 789 535
589 366 178
737 73 88
341 346 252
546 214 539
406 499 958
100 25 277
648 859 670
293 697 626
639 61 867
