863 2514
850 434 909
770 1 627
756 816 632
289 268 536
659 388 318
652 711 453
832 29 79
441 10 634
308 750 475
25 135 496
824 126 951
641 49 255
329 207 746
353 392 842
174 813 202
586 662 377
90 151 327
460 432 435
195 477 585
266 307 93
295 675 3
805 176 28
411 479 216
89 448 614
838 133 297
610 449 164
395 796 324
119 252 690
858 551 885
750 435 915
388 628 809
175 483 581
406 578 692
542 852 227
700 98 320
816 592 805
173 735 106
163 459 437
119 470 512
353 762 139
107 582 588
741 524 698
721 809 742
349 208 790
672 289 539
815 756 90
95 369 834
622 647 386
819 511 192
233 123 985
53 417 70
518 645 495
48 564 768
337 731 475
598 276 829
557 233 258
562 714 147
817 822 678
244 755 368
606 196 217
165 447 145
413 641 36
842 14 123
444 736 248
849 836 760
809 1 108
98 451 139
529 628 336
501 811 520
220 130 87
536 426 525
197 783 286
735 170 670
641 776 405
334 594 554
514 607 748
768 418 424
292 717 224
850 337 705
452 438 7
207 256 313
688 23 126
562 683 915
560 109 618
434 656 993
524 600 857
249 610 158
179 118 702
437 615 576
257 416 583
58 413 845
510 732 268
477 141 71
261 412 478
133 265 127
124 583 77
812 523 219
199 86 62
159 147 159
225 644 863
511 674 317
333 504 615
264 535 519
212 606 287
326 83 885
200 192 441
658 683 460
496 484 14
792 736 237
782 164 652
701 124 61
220 195 40
449 205 688
491 538 655
428 802 230
499 861 823
202 97 895
255 520 412
77 456 440
488 304 332
699 465 216
157 431 468
674 419 726
592 125 978
197 555 895
432 53 350
498 655 799
148 717 719
318 104 309
554 596 47
803 687 78
413 641 857
105 753 803
347 367 742
525 369 311
54 44 296
789 848 18
729 402 763
287 307 536
372 832 900
631 301 307
732 710 938
739 636 893
20 203 248
180 323 175
753 805 541
632 192 817
612 407 337
193 436 351
242 432 89
549 36 505
206 63 933
316 200 531
836 781 95
569 162 730
485 609 548
17 850 448
673 722 903
52 422 951
290 174 370
454 455 22
680 791 775
314 854 667
251 129 240
174 833 503
833 562 372
841 758 556
272 275 149
341 729 230
333 777 103
718 705 98
285 102 468
37 244 636
321 688 965
525 862 13
689 334 193
255 442 846
671 412 685
294 540 746
351 822 452
508 209 311
221 748 466
67 135 738
45 162 845
642 559 100
392 452 812
543 183 562
215 671 507
436 557 496
57 785 648
474 782 281
9 807 873
31 181 42
228 585 437
220 379 728
375 780 908
530 326 829
75 136 923
564 342 445
65 176 411
751 140 8
355 631 569
358 325 607
512 270 874
362 207 556
19 205 480
292 299 526
158 569 685
55 109 129
337 390 119
861 31 81
639 518 378
335 453 242
766 14 767
265 828 14
75 214 513
347 414 248
384 245 665
413 612 844
183 862 618
857 761 950
15 397 350
854 763 736
691 544 291
491 300 718
40 326 669
731 39 795
468 207 615
47 570 556
677 817 218
830 791 426
504 222 759
623 31 504
293 55 391
287 854 845
19 759 371
166 319 944
834 814 111
344 16 843
161 230 214
442 462 285
355 350 387
298 70 701
470 482 615
6 779 195
43 37 282
77 768 710
452 726 462
162 597 305
424 323 80
344 153 290
181 313 678
552 547 813
718 388 243
25 456 239
201 753 385
856 538 60
839 145 755
456 200 848
25 437 864
201 300 644
343 366 222
398 3 403
839 774 912
747 425 992
561 533 564
753 380 978
271 367 458
25 493 293
246 129 853
282 432 145
554 185 608
691 209 147
652 769 448
287 743 222
296 167 651
638 292 231
459 331 244
71 314 103
704 342 27
480 696 818
78 317 903
730 393 121
759 38 422
305 25 944
153 584 775
838 396 87
385 761 788
630 768 625
531 186 92
365 680 642
4 419 733
102 275 842
506 131 381
356 608 582
402 468 261
259 715 760
294 255 94
458 811 77
410 303 926
341 806 373
291 66 352
785 798 746
508 399 839
738 480 684
406 283 982
637 690 343
846 137 93
296 410 252
58 666 161
520 216 751
816 529 154
506 645 968
214 755 670
459 351 743
542 364 483
79 550 983
660 344 81
539 92 73
703 42 330
487 465 955
108 572 910
503 272 52
259 288 203
132 249 123
525 285 253
55 543 233
371 857 689
654 183 335
71 799 147
805 401 225
745 746 114
363 526 494
811 817 281
357 479 573
80 625 172
15 617 412
318 626 71
320 327 897
205 834 748
69 467 662
724 76 732
428 209 609
398 329 750
796 51 485
480 37 478
573 651 458
566 187 478
281 731 786
408 445 495
40 120 442
86 701 725
558 258 729
557 260 765
485 229 832
113 381 94
97 261 319
841 469 236
574 512 991
733 145 376
363 221 159
747 568 623
562 794 325
182 371 780
349 35 1
529 792 82
323 7 651
384 529 59
753 111 205
148 300 879
747 714 292
360 252 815
615 704 110
665 619 526
755 480 69
350 475 488
573 589 412
833 488 731
361 378 374
235 264 261
576 123 126
793 104 508
150 96 91
163 829 130
831 559 601
487 336 799
550 291 428
50 475 271
861 859 170
775 35 633
714 38 451
402 170 201
801 821 358
76 247 849
187 679 420
321 323 423
25 252 137
629 610 138
810 844 549
605 4 971
419 638 886
712 466 935
599 840 57
19 229 296
483 235 230
146 209 171
163 96 697
374 344 524
565 619 447
424 727 735
624 182 920
121 231 271
617 532 697
277 54 614
701 833 260
364 372 391
485 219 983
181 746 596
662 37 1000
137 424 398
379 743 944
16 116 946
281 635 39
663 67 344
706 33 493
683 491 747
26 345 725
597 687 49
99 779 486
661 726 332
414 395 811
469 713 620
636 363 265
669 564 828
598 813 187
396 496 265
226 229 659
349 785 570
473 96 855
380 325 324
327 699 676
418 370 388
244 196 251
648 564 945
133 699 139
219 505 746
377 674 961
614 382 382
262 114 659
688 645 283
135 350 92
561 89 637
648 743 341
313 499 542
559 770 57
834 141 212
83 769 443
533 575 908
380 632 740
457 426 150
341 142 557
148 734 997
644 522 868
316 413 26
366 333 531
592 149 174
120 535 428
804 631 445
101 217 863
657 193 880
241 658 232
237 309 295
252 149 229
480 306 621
488 688 226
186 194 193
239 84 618
225 718 276
245 742 437
673 551 231
311 651 806
613 749 451
377 583 520
442 206 109
260 744 171
310 3 310
460 772 930
523 405 615
84 831 843
44 286 745
309 562 11
729 274 258
705 549 513
73 359 818
617 488 2
526 625 324
161 88 111
356 708 708
716 159 539
295 522 13
840 636 949
405 252 281
362 350 972
469 63 606
3 695 594
255 755 171
417 143 710
303 834 411
512 629 648
137 487 149
845 720 100
537 60 832
45 409 656
209 15 41
338 52 567
448 268 28
680 807 54
189 324 630
369 693 715
141 852 830
249 684 887
504 465 814
450 643 857
73 633 426
564 14 577
37 34 971
769 396 715
19 427 429
492 18 735
15 334 865
283 451 300
710 583 644
631 7 934
608 809 555
557 469 697
64 825 311
30 681 527
769 348 821
757 215 696
79 446 389
151 523 243
319 34 955
838 180 104
355 131 13
859 831 838
658 860 491
432 397 565
549 652 277
118 248 773
570 779 174
517 632 158
769 854 130
264 472 260
654 122 486
712 185 160
482 788 70
244 296 84
176 175 275
8 638 373
300 861 756
553 470 276
2 410 973
380 479 775
19 233 587
244 201 47
278 176 547
420 154 453
53 698 394
454 790 930
364 336 284
381 202 257
707 417 156
82 426 811
187 176 183
251 733 81
133 811 791
575 688 795
465 569 791
158 816 389
734 428 317
365 528 217
855 623 139
425 42 631
767 157 997
365 618 813
848 402 569
276 48 436
413 614 388
529 465 586
197 286 86
340 93 938
412 391 259
619 591 41
520 570 838
560 402 115
490 375 53
529 4 47
821 849 783
841 50 159
396 775 633
94 853 253
272 268 804
223 187 359
65 294 426
673 504 548
545 602 519
550 645 657
504 70 14
616 471 580
116 547 735
200 360 912
452 201 422
245 408 787
462 618 558
648 688 803
286 255 799
189 43 457
620 332 530
59 776 212
181 486 734
339 321 202
634 130 544
544 291 603
181 173 182
152 669 810
610 147 977
226 9 954
274 4 874
318 716 604
848 508 512
47 116 845
399 518 727
814 459 985
653 541 926
633 212 946
828 739 768
13 732 913
391 601 229
329 402 432
353 519 167
567 32 118
581 364 844
17 209 781
303 736 799
709 832 516
190 386 710
701 827 157
582 294 903
344 717 518
273 712 554
386 326 577
862 275 93
229 794 825
695 483 503
755 692 242
812 359 55
27 64 525
252 474 295
759 10 111
176 234 522
123 463 402
409 509 792
457 213 228
550 820 414
633 297 623
552 840 258
475 447 399
393 44 901
316 25 729
691 459 141
690 839 79
579 737 224
668 845 614
405 535 667
225 648 416
735 694 850
816 425 487
227 128 686
846 809 400
432 107 247
420 620 864
437 13 550
96 31 240
740 717 965
338 846 388
12 209 245
806 110 204
325 659 888
609 585 943
860 303 391
350 359 894
106 253 683
437 29 927
566 459 84
347 345 429
303 773 454
369 134 653
417 724 86
574 315 179
538 771 365
582 731 956
364 365 858
196 184 170
708 383 50
337 268 144
253 709 509
679 351 992
781 255 5
185 420 296
587 112 923
278 110 972
331 556 916
87 677 357
46 594 319
367 285 944
239 594 990
131 858 654
191 527 368
493 551 331
384 857 44
196 703 919
468 577 208
820 840 128
782 381 564
758 520 102
189 436 758
393 394 368
353 695 589
499 259 14
243 647 320
25 365 81
148 241 704
283 388 949
279 763 645
585 492 338
35 714 939
720 774 34
157 321 827
10 667 244
594 364 568
854 58 19
303 148 844
147 756 318
565 410 445
287 623 897
603 14 370
259 549 248
818 547 894
288 686 418
723 551 474
832 755 972
537 535 670
142 544 852
255 573 168
494 713 171
468 184 29
542 792 509
203 783 23
433 15 938
155 320 391
706 249 611
276 210 420
160 133 516
568 705 329
403 752 816
546 645 957
538 287 452
47 395 651
698 3 793
527 189 188
495 158 61
364 105 536
790 667 184
239 108 247
692 596 258
754 281 317
243 234 761
710 23 244
486 343 195
168 596 325
705 450 569
308 358 478
220 83 595
392 294 7
408 461 578
523 683 948
275 172 358
622 825 789
42 169 917
112 317 195
496 213 25
306 43 79
397 341 484
504 854 7
836 590 182
34 758 43
159 206 713
18 171 574
470 95 652
603 783 906
104 814 612
454 77 814
591 123 657
759 781 692
77 332 127
152 589 840
231 625 782
221 547 889
165 553 660
383 834 709
530 163 86
400 439 975
420 359 916
235 663 217
844 256 432
738 714 132
544 484 298
778 457 420
635 729 734
781 211 102
608 434 989
489 650 408
529 396 138
780 332 389
346 234 296
787 164 336
169 657 564
597 15 573
479 416 889
129 195 162
850 768 448
14 42 371
797 421 80
655 477 487
534 572 882
737 302 945
432 177 425
371 397 788
616 339 751
703 650 997
340 332 710
437 340 170
689 760 493
319 106 547
376 398 116
326 257 637
225 351 418
322 359 531
127 757 54
625 630 492
322 797 14
110 842 244
193 535 355
711 238 52
662 721 600
373 535 721
745 826 605
489 836 635
411 601 459
558 564 935
608 185 656
72 690 124
374 16 913
238 557 856
506 147 121
524 496 280
52 768 706
229 60 581
730 493 670
616 406 399
411 617 568
651 21 849
448 545 889
579 543 466
337 778 462
830 346 675
502 604 231
172 604 552
346 123 32
438 53 253
10 31 61
725 602 525
344 716 218
655 517 850
331 398 644
803 14 361
76 42 112
1 626 800
471 468 467
468 625 388
724 631 21
627 261 861
612 818 961
684 126 72
391 194 233
268 510 719
556 15 339
698 202 371
451 778 181
553 568 723
386 158 903
117 574 522
139 671 300
846 828 637
302 157 304
165 330 384
182 861 47
718 121 519
23 330 63
237 444 37
339 8 114
128 410 903
58 292 5
216 315 33
505 466 226
555 554 220
176 51 342
180 453 769
365 712 854
495 393 704
275 487 85
839 140 291
91 214 821
255 846 425
322 575 859
539 744 810
859 787 611
442 303 537
162 373 481
357 449 952
175 573 403
696 301 964
65 331 122
764 307 806
754 513 803
766 582 589
636 545 975
174 702 266
717 606 877
21 799 933
575 424 245
663 13 478
662 26 177
308 519 453
9 346 598
8 37 354
22 58 216
669 167 852
798 350 490
229 84 452
451 535 159
255 781 66
89 527 899
113 669 641
505 12 594
205 199 143
504 219 437
78 212 264
499 424 49
464 602 461
391 102 833
590 416 441
535 486 622
138 40 422
829 382 656
483 578 5
308 522 766
289 615 438
112 18 796
42 319 804
591 29 506
596 546 423
22 255 308
181 805 754
403 388 398
245 444 332
509 497 571
846 483 148
196 68 845
271 107 168
510 115 339
480 199 484
490 282 531
604 596 746
43 75 947
636 132 381
629 813 633
74 423 682
786 666 722
168 186 598
39 379 936
83 173 110
371 779 21
662 253 293
401 567 845
183 719 753
716 164 959
30 637 280
40 796 838
642 300 83
780 46 212
502 658 664
405 689 531
422 601 566
803 765 254
331 54 575
657 428 286
840 409 830
572 582 440
674 460 982
605 114 960
361 586 313
184 745 775
83 468 521
443 637 734
282 348 723
428 443 673
352 676 533
162 600 633
563 459 31
708 581 898
180 135 130
195 317 380
357 33 795
505 71 933
149 148 377
320 695 34
735 110 266
237 585 82
309 148 186
490 387 317
661 471 472
860 268 646
402 723 942
239 192 244
117 77 366
54 453 482
488 638 110
585 82 250
862 356 349
154 393 341
787 576 736
571 407 540
773 179 193
826 8 372
93 744 342
3 592 14
106 351 200
248 484 593
769 667 582
276 445 981
488 380 106
640 813 124
281 421 248
765 411 834
223 663 396
403 51 804
367 699 436
50 682 854
353 101 556
697 38 572
590 686 576
371 503 411
612 557 589
49 281 688
194 582 682
713 30 461
110 350 111
33 393 867
608 577 911
346 294 440
222 589 655
679 468 480
245 757 565
102 278 793
491 366 449
41 622 217
425 485 115
327 69 938
106 769 770
461 685 186
737 818 639
270 18 186
44 804 72
46 296 277
222 464 541
58 227 220
215 739 154
244 630 420
116 367 459
793 223 214
445 611 560
649 357 272
527 760 829
734 859 432
820 376 280
167 505 823
410 768 860
355 669 507
261 630 894
697 480 151
400 650 61
49 224 434
629 769 506
790 345 639
478 780 591
16 68 565
845 175 746
621 524 735
269 790 111
138 204 172
836 437 204
813 293 423
802 669 137
607 238 268
764 809 736
154 551 888
522 8 93
449 4 672
34 164 908
99 622 205
730 372 91
609 271 215
131 403 618
386 5 237
440 283 101
692 299 99
369 141 849
66 450 656
333 252 460
359 119 364
545 190 13
802 138 228
123 790 640
223 279 471
570 554 761
138 698 487
30 708 692
401 5 480
299 472 340
216 714 162
9 411 48
473 586 459
141 122 876
228 4 857
791 471 980
413 136 770
100 612 440
88 533 538
263 171 208
168 625 531
776 483 307
268 605 504
429 95 823
852 224 872
228 445 996
71 603 134
464 277 954
266 222 739
827 105 682
147 778 419
320 145 455
425 599 333
198 35 612
600 386 939
776 799 13
475 191 373
319 44 332
319 403 987
791 44 288
825 132 279
121 512 565
268 522 80
22 174 521
859 122 211
616 362 100
32 475 482
190 333 832
656 476 242
586 456 555
122 294 287
747 529 228
621 83 703
317 540 325
404 19 296
334 559 544
754 350 261
22 391 644
855 764 635
812 280 117
473 224 870
10 575 371
861 796 632
540 15 35
679 30 817
613 196 16
650 686 238
330 576 69
811 218 188
263 724 359
686 831 437
446 796 391
561 90 856
709 655 35
488 745 819
551 387 762
258 520 46
341 381 943
32 158 600
588 516 723
822 196 973
847 438 211
232 586 13
55 423 162
458 739 275
198 683 910
375 267 656
65 682 890
632 135 258
629 242 282
196 364 395
729 660 285
796 435 828
176 748 650
725 48 225
265 112 447
788 83 776
769 504 263
656 765 812
755 609 649
637 697 795
692 26 545
434 216 509
760 176 911
818 308 206
746 124 202
599 347 30
299 276 531
141 735 196
125 513 399
261 796 362
46 228 683
699 129 109
349 148 504
746 36 705
127 72 259
660 120 352
481 383 285
833 105 942
317 164 108
434 24 969
154 319 208
97 824 598
269 55 156
505 319 729
815 80 20
431 230 524
800 469 79
365 447 368
324 112 965
60 265 336
314 674 890
496 454 988
657 33 762
180 309 213
358 438 706
217 262 398
828 691 486
441 473 127
530 558 197
25 443 917
568 219 383
245 482 875
251 86 660
737 115 231
121 125 282
292 155 781
726 445 524
540 670 341
746 163 244
263 322 425
600 777 422
107 849 898
751 91 137
632 382 820
4 595 183
547 688 744
453 810 239
497 285 790
109 118 284
189 15 157
673 527 787
590 208 298
781 237 867
450 354 470
782 524 633
817 782 822
171 672 102
700 671 561
624 593 55
413 558 347
339 511 861
686 492 859
854 636 262
824 680 794
720 200 452
661 137 404
714 35 595
16 53 146
261 442 694
489 21 446
446 772 775
862 756 427
659 545 153
831 822 209
393 799 833
466 508 183
842 344 921
773 708 204
326 821 187
206 652 562
466 323 892
622 252 106
201 625 47
222 612 720
206 593 46
742 464 698
22 393 742
532 705 714
638 226 558
728 858 214
503 584 655
172 222 383
94 505 105
619 26 176
70 577 499
209 579 87
339 90 198
136 315 645
385 307 234
462 356 433
599 187 159
25 74 338
362 426 978
429 632 614
636 656 373
166 408 157
193 64 3
680 43 970
195 129 946
20 51 20
198 345 443
29 574 508
627 836 940
517 788 29
164 191 263
778 254 967
542 853 570
67 166 151
505 253 997
266 326 894
395 396 621
789 287 144
504 573 802
574 316 403
444 683 142
826 531 175
385 635 426
181 312 621
457 514 713
566 321 378
248 482 994
300 176 433
794 205 354
860 31 429
336 272 675
162 307 843
266 430 121
193 339 754
562 662 443
684 799 104
422 853 474
51 10 288
251 754 164
258 538 671
325 202 447
295 711 785
607 293 880
80 782 749
723 543 326
588 119 229
446 464 871
671 517 818
705 160 979
597 345 989
70 254 911
249 400 357
412 493 10
151 387 998
386 509 821
532 254 480
734 615 394
404 742 23
82 454 410
380 859 257
419 446 491
550 564 830
553 272 151
543 480 69
742 669 782
480 38 507
766 556 788
727 215 249
630 365 666
452 542 899
41 327 693
15 322 548
143 357 47
229 37 697
127 701 67
794 724 351
421 334 548
784 751 119
729 194 157
229 549 613
341 173 610
829 124 144
222 445 916
3 167 409
127 28 345
463 183 860
606 214 935
422 106 582
537 295 35
492 173 419
620 505 398
54 190 690
297 370 977
408 672 285
135 686 457
759 166 668
135 541 891
197 189 786
828 666 551
709 677 745
251 742 609
232 149 821
559 477 26
476 275 229
160 414 444
112 855 78
304 391 169
188 32 842
451 379 785
370 294 91
345 697 712
352 24 418
83 637 430
714 519 853
406 413 188
209 602 65
672 327 915
187 92 659
526 74 875
258 67 922
413 835 985
528 843 571
519 225 661
36 23 423
318 350 183
529 292 852
429 659 957
842 530 667
718 509 231
617 492 953
615 110 684
518 138 666
80 213 918
622 499 280
769 437 910
546 553 859
429 283 353
584 301 507
649 685 446
21 640 791
292 135 63
656 689 1
322 119 327
98 17 642
78 1 703
224 723 910
105 738 41
281 717 457
762 359 428
60 519 560
801 507 336
65 794 829
352 522 293
139 147 412
531 753 422
850 675 243
532 419 232
584 326 713
179 655 164
364 636 793
767 372 862
44 56 214
374 772 343
660 565 541
755 528 162
562 650 890
477 293 964
626 315 285
476 83 992
609 206 960
353 564 553
587 829 383
183 122 677
153 267 415
84 275 85
515 59 413
125 662 819
188 96 466
295 9 199
857 94 493
810 41 508
802 378 979
26 510 512
686 375 524
306 290 498
24 101 712
530 215 364
685 556 50
250 698 158
523 441 991
558 561 549
584 130 285
838 850 201
62 285 249
77 665 75
530 551 43
106 802 149
722 4 914
294 806 34
256 210 425
391 295 734
743 311 266
480 364 796
608 712 903
25 812 650
32 183 325
474 616 808
268 830 683
844 716 526
506 343 768
479 491 103
32 567 592
711 481 734
337 223 336
294 529 192
208 85 173
151 586 745
527 383 275
261 817 59
730 217 747
651 314 906
307 427 237
443 326 750
529 72 316
477 358 621
381 737 679
133 611 978
342 576 433
260 36 219
233 183 598
690 507 190
539 270 784
70 137 159
800 432 947
827 369 933
136 43 816
734 561 948
253 83 166
75 770 483
243 312 543
196 378 760
229 330 109
704 514 225
349 266 315
678 390 626
374 665 774
131 506 865
429 254 119
40 817 885
682 110 264
350 600 685
403 830 293
527 283 631
213 410 192
603 87 635
821 468 623
643 168 289
489 42 552
783 64 999
136 99 195
435 566 676
647 709 37
521 49 225
289 764 755
302 513 433
785 427 261
425 617 24
359 50 332
577 269 796
387 595 436
53 4 654
17 139 778
843 629 459
655 604 847
582 286 777
276 86 62
105 620 899
413 328 36
861 461 568
838 405 202
300 403 418
412 460 69
181 803 466
620 361 194
222 78 844
454 105 414
315 810 734
342 44 36
827 472 328
662 143 267
568 338 311
228 487 902
580 632 726
64 675 845
726 114 582
720 714 153
531 255 944
571 708 837
47 681 971
472 709 65
129 108 908
233 526 260
67 645 252
220 621 934
711 564 924
778 368 674
219 237 480
806 547 573
49 124 7
530 412 857
125 242 264
490 92 610
611 528 784
170 763 347
452 111 310
394 110 89
753 850 960
312 288 402
861 669 517
86 386 501
745 240 611
155 447 130
402 598 219
208 359 20
665 425 744
699 727 410
298 678 186
430 596 697
11 304 274
454 266 212
273 183 870
733 605 213
563 552 954
671 837 714
228 645 812
329 166 606
827 377 960
115 234 460
713 393 739
438 393 29
511 709 331
229 308 903
138 266 725
198 792 932
762 369 208
355 168 243
127 792 356
819 298 725
770 788 84
581 592 454
219 793 870
413 852 749
604 793 753
113 75 54
86 802 470
702 172 788
54 803 968
221 573 198
77 449 609
309 664 60
238 512 395
792 663 478
603 132 397
544 809 667
454 610 5
582 464 35
792 53 693
323 677 752
688 532 43
151 644 739
106 415 239
414 589 118
320 319 534
695 529 242
559 382 474
182 72 982
110 16 767
724 322 463
574 528 441
250 299 152
255 523 214
620 84 42
134 364 448
828 814 674
200 785 785
205 673 880
577 780 175
448 38 584
792 250 549
382 461 615
729 173 999
83 20 725
791 535 577
674 859 891
47 34 11
288 197 591
822 541 839
719 54 250
554 611 729
122 686 302
831 487 497
212 854 539
757 436 605
500 723 240
863 789 642
836 97 706
727 14 636
696 277 683
557 375 643
163 404 481
447 814 159
602 209 654
836 161 260
144 386 18
508 100 940
774 318 594
174 208 238
201 849 812
428 245 844
145 460 651
573 104 644
184 664 880
72 523 57
835 327 900
399 812 510
